"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-219",4,"-0.56898114","-0.20138925"," 0.03270350","-1.5153158"," 1.64503345"," 0.48791514"," 0.49756578","-0.38328693","-0.94566306"," 0.34346356"
"sub-221",1," 1.00754090","-0.02869407"," 0.5212975456","-0.18730529"," 0.81763099"," 0.45533096"," 0.49756578"," 0.667060962","-0.386310826","-0.09859504"
"sub-221",2,"-0.25367673"," 0.81370889"," 1.21486664","-0.514418011","-0.222632160"," 0.43842838"," 0.03263735"," 1.21153968"," 1.170147559","-0.30724005"
"sub-221",3,"-0.5689811"," 0.963833445"," 0.129854497","-0.28156506"," 0.58276186"," 0.37503052"," 0.26510157","-0.68651825"," 1.461983506"," 0.599889884"
"sub-221",4,"-0.72663334"," 1.15782142"," 0.90607605","-0.5737482"," 0.09088005"," 0.31896372"," 0.08429606","-0.45563428"," 1.17014756"," 0.42473660"
"sub-222",1,"-0.17485063"," 1.66994320","-1.4274698061","-0.46004761","-0.12985888"," 0.63199197"," 0.72357266"," 1.006004098"," 0.756713301","-0.30388789"
"sub-222",2," 0.77106260"," 0.77973282","-0.07708700","-0.736413254","-1.049496691"," 0.31773065"," 0.38779101"," 2.33492854"," 0.659434652","-0.80114218"
"sub-222",3,"-0.1748506"," 0.572836418","-0.038287730","-0.39129762","-0.73550497","-0.06352626"," 0.12949744"," 0.94663958"," 0.075762757","-0.479049015"
"sub-222",4,"-0.49015504"," 0.21728710","-0.42370797","-0.3210616","-0.54120673","-0.44506338"," 0.36196166"," 0.81317234","-0.02151589","-0.53981770"
"sub-223",1," 1.00754090","-0.41115767"," 1.0107436789","-1.29161678"," 0.01104911"," 0.60869428"," 1.88589376","-0.071764625"," 0.002803771","-1.16092112"
"sub-223",2," 0.06162768","-1.17512618","-0.70555531","-1.937507723","-1.124343958"," 0.36115989"," 2.01504055","-0.02466175"," 0.002803771","-1.43924154"
"sub-223",3,"-0.8842855","-0.005934041","-0.689824118","-1.42547759","-0.15112915"," 0.30119405"," 1.47262404","-0.05129208","-0.289032177","-1.413550371"
"sub-223",4," 0.21927988","-0.06133515"," 2.11762573","-1.3723320","-0.74853240","-0.08851578"," 1.57594147","-0.03678834","-1.06726137","-1.68061877"
"sub-226",1,"-0.01719842"," 0.30881708"," 1.1299010735"," 1.29731382"," 0.34287798"," 0.28513276"," 0.63962725","-0.582162867","-0.629507448"," 0.34593369"
"sub-226",2," 1.55932362"," 0.72655389","-0.03501145"," 0.188362188","-0.453745788"," 0.76270284"," 0.71711532"," 0.53225004","-1.699572588","-0.91286089"
"sub-226",3," 2.1899324"," 1.488882572"," 0.642706545","-0.03692717"," 0.56353798","-0.02833624"," 0.87209147"," 0.76041508","-3.256030972","-1.607794916"
"sub-226",4,"-0.64780724"," 0.82623048"," 0.83509889"," 0.2206264","-0.07321678"," 0.21262512"," 1.02706762"," 0.49266254","-2.18596583","-1.25367367"
"sub-227",1,"-1.04193775",NA," 1.2102328246"," 0.13494327","-1.67304420","-0.11156403","-0.30960164","-0.622102180"," 0.391918367"," 0.20874994"
"sub-227",2,"-1.04193775",NA,"-1.02852175","-0.516504418","-1.325744729","-0.18955341"," 1.96338183"," 1.21630846"," 0.294639718","-1.87898773"
"sub-227",3,"-1.0419377","-1.355259672"," 1.500541714"," 0.14050359","-0.71030369","-0.05938574","-0.18045485","-0.70291154","-0.094474878"," 0.333065025"
"sub-227",4,"-0.56898114",NA,"-0.69654188","-0.4899208","-0.46393692","-0.01953307"," 0.93020752","-0.07499918"," 0.19736107","-0.61790659"
"sub-228",1,NA,NA,"-1.4293979101","-0.30830455","-0.09721184"," 0.15293872"," 4.87779435"," 1.510517946","-0.070155216","-3.54853426"
"sub-228",2,NA,NA,"-1.32592674","-0.524623009","-1.285439014","-0.58385932"," 4.64533013"," 2.13897738","-0.945663058","-4.25533786"
"sub-228",3,NA,NA,"-0.111720450","-0.07793796","-0.72869048","-1.19657264","-0.26224782"," 0.02487071"," 0.027123433","-2.695684927"
"sub-228",4,NA,NA,"-0.42238675","-0.3004480"," 0.43605600","-1.03833925"," 0.02187511","-0.38756196","-0.36199116","-1.83452958"
"sub-229",1," 1.95345413"," 1.02307975","-0.9874965309"," 0.13320785"," 1.78801678","-3.83701181","-0.36771770","-0.781412401","-0.094474878","-0.90482584"
"sub-229",2," 2.89936735"," 0.73856461"," 0.16218818","-0.279852778"," 0.837382920","-9.41013637"," 0.20052817"," 0.06066188","-0.580868124","-3.06107670"
"sub-229",3," 1.3228453","-0.285985890","-0.740701496","-0.04720574"," 1.07377005"," 2.04102218"," 0.38133367","-0.08747836","-1.359097316"," 0.939438946"
"sub-229",4,"-0.41132893"," 0.05728570","-0.95837872"," 0.2020130"," 1.58084736"," 1.87008706","-0.10942412","-0.70642752"," 0.68375431"," 1.21717903"
"sub-232",1," 1.95345413","-1.55479364","-0.5375395189"," 0.83500060"," 1.17985092"," 0.44610337"," 0.14241212","-0.135582510"," 0.659434652"," 0.11242981"
"sub-232",2," 1.63814972"," 0.70077488"," 0.48300175"," 0.386374564"," 0.105246743"," 0.28662546"," 0.29738826","-0.33273461"," 0.367598704"," 0.21040736"
"sub-232",3," 0.6922365"," 0.637309164","-0.794925609"," 0.73811552"," 0.43676276"," 0.82626697"," 0.03909469","-0.13193773"," 0.173041406"," 0.236351214"
